CPU: ID 0x306a9, Processor Type 0x0, Family 0x6, Model 0x3a, Stepping 0x9
Northbridge: 8086:0154 (3rd generation (Ivy Bridge family) Core Processor)
Southbridge: 8086:1e59 (HM76)

============= GPIOS =============

GPIOBASE = 0x0500 (IO)

gpiobase+0x0000: 0x39cbb9bf (GPIO_USE_SEL)
gpiobase+0x0000: 0xb96ba1ff (GPIO_USE_SEL) DEFAULT
gpiobase+0x0000: 0x80a01840 (GPIO_USE_SEL) DIFF
gpiobase+0x0004: 0x8635cecb (GP_IO_SEL)
gpiobase+0x0004: 0xeeff6eff (GP_IO_SEL) DEFAULT
gpiobase+0x0004: 0x68caa034 (GP_IO_SEL) DIFF
gpiobase+0x0008: 0x00000000 (RESERVED)
gpiobase+0x000c: 0xf4e5ff78 (GP_LVL)
gpiobase+0x000c: 0x02fe0100 (GP_LVL) DEFAULT
gpiobase+0x000c: 0xf61bfe78 (GP_LVL) DIFF
gpiobase+0x0010: 0x00000000 (RESERVED)
gpiobase+0x0014: 0x00000000 (RESERVED)
gpiobase+0x0018: 0x00000000 (GPO_BLINK)
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DEFAULT
gpiobase+0x0018: 0x00040000 (GPO_BLINK) DIFF
gpiobase+0x001c: 0x00000000 (GP_SER_BLINK)
gpiobase+0x0020: 0x00080000 (GP_SB_CMDSTS)
gpiobase+0x0024: 0x00000000 (GP_SB_DATA)
gpiobase+0x0028: 0x0000     (GPI_NMI_EN)
gpiobase+0x002a: 0x0000     (GPI_NMI_STS)
gpiobase+0x002c: 0x00008908 (GPI_INV)
gpiobase+0x002c: 0x00000000 (GPI_INV) DEFAULT
gpiobase+0x002c: 0x00008908 (GPI_INV) DIFF
gpiobase+0x0030: 0xb3df40fe (GPIO_USE_SEL2)
gpiobase+0x0030: 0x020300fe (GPIO_USE_SEL2) DEFAULT
gpiobase+0x0030: 0xb1dc4000 (GPIO_USE_SEL2) DIFF
gpiobase+0x0034: 0x0c02bffc (GP_IO_SEL2)
gpiobase+0x0034: 0x1f57fff4 (GP_IO_SEL2) DEFAULT
gpiobase+0x0034: 0x13554008 (GP_IO_SEL2) DIFF
gpiobase+0x0038: 0xbfe77fda (GP_LVL2)
gpiobase+0x0038: 0xa4aa0007 (GP_LVL2) DEFAULT
gpiobase+0x0038: 0x1b4d7fdd (GP_LVL2) DIFF
gpiobase+0x003c: 0x00000000 (RESERVED)
gpiobase+0x0040: 0x000007f9 (GPIO_USE_SEL3)
gpiobase+0x0040: 0x00000030 (GPIO_USE_SEL3) DEFAULT
gpiobase+0x0040: 0x000007c9 (GPIO_USE_SEL3) DIFF
gpiobase+0x0044: 0x00000828 (GPIO_SEL3)
gpiobase+0x0044: 0x00000ff0 (GPIO_SEL3) DEFAULT
gpiobase+0x0044: 0x000007d8 (GPIO_SEL3) DIFF
gpiobase+0x0048: 0x00000ef7 (GPIO_LVL3)
gpiobase+0x0048: 0x000000c0 (GPIO_LVL3) DEFAULT
gpiobase+0x0048: 0x00000e37 (GPIO_LVL3) DIFF
gpiobase+0x004c: 0x00000000 (RESERVED)
gpiobase+0x0050: 0x00000000 (RESERVED)
gpiobase+0x0054: 0x00000000 (RESERVED)
gpiobase+0x0058: 0x00000000 (RESERVED)
gpiobase+0x005c: 0x00000000 (RESERVED)
gpiobase+0x0060: 0x01000000 (GP_RST_SEL1)
gpiobase+0x0064: 0x00000000 (GP_RST_SEL2)
gpiobase+0x0068: 0x00000000 (GP_RST_SEL3)
gpiobase+0x006c: 0x00000000 (RESERVED)
gpiobase+0x0070: 0x00000000 (RESERVED)
gpiobase+0x0074: 0x00000000 (RESERVED)
gpiobase+0x0078: 0x00000000 (RESERVED)
gpiobase+0x007c: 0x00000000 (RESERVED)



============= RCBA ==============

RCBA = 0xfed1c000 (MEM)

0x0050: 0x812a0654
pmbase+0x004c: 0x00000000 (RESERVED)
pmbase+0x0050: 0x00       (PM2_CNT)
pmbase+0x0051: 0x00       (RESERVED)
pmbase+0x0052: 0x0000     (RESERVED)
pmbase+0x0054: 0x00002000 (RESERVED)
pmbase+0x0058: 0x00000000 (RESERVED)
pmbase+0x005c: 0x00000000 (RESERVED)
pmbase+0x0060: 0x0004     (TCO_RLD)
pmbase+0x0062: 0x00       (TCO_DAT_IN)
pmbase+0x0063: 0x00       (TCO_DAT_OUT)
pmbase+0x0064: 0x0000     (TCO1_STS)
pmbase+0x0066: 0x0000     (TCO2_STS)
pmbase+0x0068: 0x0a00     (TCO1_CNT)
pmbase+0x006a: 0x0008     (TCO2_CNT)
pmbase+0x006c: 0x0000     (TCO_MESSAGE)
pmbase+0x006e: 0x00       (TCO_WDCNT)
pmbase+0x006f: 0x00       (RESERVED)
pmbase+0x0070: 0x03       (SW_IRQ_GEN)
pmbase+0x0071: 0x00       (RESERVED)
pmbase+0x0072: 0x0032     (TCO_TMR)
pmbase+0x0074: 0x00000000 (RESERVED)
pmbase+0x0078: 0x00000000 (RESERVED)
pmbase+0x007c: 0x00000000 (RESERVED)



============= MCHBAR ============

MCHBAR = 0xfed10000 (MEM)

0x0004: 0x00001d70
0x0008: 0x00000006
0x000c: 0x00053239
0x0010: 0x02402136
0x0014: 0x02401f36
0x0020: 0x00019230
0x0024: 0x00019130
0x0030: 0x000000ff
0x0034: 0x00001011
0x0104: 0x00001d70
0x0108: 0x00000006
0x010c: 0x00053239
0x0110: 0x02211f03
0x0114: 0x02112102
0x0120: 0x00019533
0x0124: 0x00019230
0x0130: 0x000000ff
0x0134: 0x00001011
0x0204: 0x00001d70
0x0208: 0x00000006
0x020c: 0x00053239
0x0210: 0x02101e1f
0x0214: 0x02102020
0x0220: 0x00018320
0x0224: 0x00018321
0x0230: 0x000000ff
0x0234: 0x00001011
0x0304: 0x00001d70
0x0308: 0x00000006
0x030c: 0x00053239
0x0310: 0x02102227
0x0314: 0x02202225
0x0320: 0x00018926
0x0324: 0x00018723
0x0330: 0x000000ff
0x0334: 0x00001011
0x0404: 0xffffffff
0x0408: 0x0000ffff
0x040c: 0x00053239
0x0410: 0x0201200d
0x0414: 0x01f1210d
0x0420: 0x0009ac0a
0x0424: 0x0009ab0a
0x0430: 0x000000ff
0x0434: 0x00001011
0x0504: 0xffffffff
0x0508: 0x0000ffff
0x050c: 0x00053239
0x0510: 0x02412016
0x0514: 0x02212214
0x0520: 0x0009b410
0x0524: 0x0009b10e
0x0530: 0x000000ff
0x0534: 0x00001011
0x0604: 0xffffffff
0x0608: 0x0000ffff
0x060c: 0x00053239
0x0610: 0x02102008
0x0614: 0x02301f0b
0x0620: 0x00092d0b
0x0624: 0x00092f0e
0x0630: 0x000000ff
0x0634: 0x00001011
0x0704: 0xffffffff
0x0708: 0x0000ffff
0x070c: 0x00053239
0x0710: 0x02201f12
0x0714: 0x02001f10
0x0720: 0x00093110
0x0724: 0x00093112
0x0730: 0x000000ff
0x0734: 0x00001011
0x080c: 0x00053239
0x0830: 0x000000ff
0x0834: 0x00001011
0x090c: 0x00053239
0x0930: 0x000000ff
0x0934: 0x00001011
0x0a00: 0x00000003
0x0a04: 0x00074225
0x0a08: 0x0007422a
0x0a0c: 0x01fe4042
0x0a10: 0x00003fff
0x0b00: 0x00000003
0x0b04: 0x00074225
0x0b08: 0x0007422a
0x0b0c: 0x01fe4086
0x0b10: 0x00003fff
0x0c00: 0x00000003
0x0c04: 0x0007422c
0x0c14: 0x032cb30e
0x0c1c: 0x000002ff
0x0c20: 0x0000ff00
0x0c34: 0x00001011
0x0d00: 0x00000003
0x0d04: 0x0007422c
0x0d14: 0x032cb311
0x0d1c: 0x000002ff
0x0d20: 0x0000ffff
0x0d34: 0x00001011
0x0e00: 0x00000003
0x0e04: 0x00074225
0x0e08: 0x0007422a
0x0e0c: 0x01fe4042
0x0e10: 0x00003fff
0x0f00: 0x00000003
0x0f04: 0x00074225
0x0f08: 0x0007422a
0x0f0c: 0x01fe4086
0x0f10: 0x00003fff
0x1004: 0xffffffff
0x100c: 0x00053239
0x1010: 0x02321f29
0x1014: 0x02421d2a
0x1020: 0x00028322
0x1024: 0x00028221
0x1030: 0x000000ff
0x1034: 0x00001011
0x1104: 0xffffffff
0x110c: 0x00053239
0x1110: 0x02422239
0x1114: 0x02422235
0x1120: 0x00028320
0x1124: 0x0002821f
0x1130: 0x000000ff
0x1134: 0x00001011
0x1204: 0xffffffff
0x1208: 0x0000ffff
0x120c: 0x00053239
0x1210: 0x02111e2b
0x1214: 0x02011f2d
0x1220: 0x0009bb1b
0x1224: 0x0009ba1a
0x1230: 0x000000ff
0x1234: 0x00001011
0x1304: 0xffffffff
0x1308: 0x0000ffff
0x130c: 0x00053239
0x1310: 0x02112037
0x1314: 0x02112039
0x1320: 0x0009bd1b
0x1324: 0x0009ba18
0x1330: 0x000000ff
0x1334: 0x00001011
0x1404: 0xffffffff
0x140c: 0x00053239
0x1410: 0x02121f11
0x1414: 0x02022011
0x1420: 0x00021d3b
0x1424: 0x00021e3b
0x1430: 0x000000ff
0x1434: 0x00001011
0x1504: 0xffffffff
0x150c: 0x00053239
0x1510: 0x02422217
0x1514: 0x02322216
0x1520: 0x000a2400
0x1524: 0x0002203c
0x1530: 0x000000ff
0x1534: 0x00001011
0x1604: 0xffffffff
0x160c: 0x00053239
0x1610: 0x02221f0f
0x1614: 0x02222010
0x1620: 0x00020423
0x1624: 0x00020422
0x1630: 0x000000ff
0x1634: 0x00001011
0x1704: 0xffffffff
0x170c: 0x00053239
0x1710: 0x02121d1a
0x1714: 0x02021f1c
0x1720: 0x00020a28
0x1724: 0x00020725
0x1730: 0x000000ff
0x1734: 0x00001011
0x1810: 0x24914924
0x1814: 0x0c6671e4
0x1818: 0x00000400
0x1910: 0x24914924
0x1914: 0x0c6671e4
0x1918: 0x00000400



============= EPBAR =============

Error: Dumping EPBAR on this northbridge is not (yet) supported.



============= DMIBAR ============

DMIBAR = 0xfed18000 (MEM)

0x0000: 0x04010002
0x0004: 0x00000001
0x0010: 0x00000001
0x0014: 0x80000019
0x001c: 0x00008001
0x0020: 0x81000022
0x0028: 0x00000001
0x002c: 0x82000044
0x0034: 0x00008000
0x0038: 0x87000080
0x0040: 0x08010005
0x0044: 0x01010202
0x0050: 0x00020001
0x0058: 0xfed1c000
0x0060: 0x00010001
0x0068: 0xfed19000
0x0080: 0x00010006
0x0084: 0x0041ac42
0x0088: 0x00420003
0x0098: 0x00000002
0x00f0: 0x00000800
0x00f4: 0x00050020
0x00fc: 0x00100001
0x01c0: 0x00010001
0x01cc: 0x00060010
0x01d4: 0x00002000
0x01f8: 0x00010000
0x01fc: 0x7ca01000
0x0200: 0x80000000
0x0204: 0x00f78000
0x0208: 0x000004b0
0x0214: 0x000a000f
0x0218: 0x0e9b0b3c
0x021c: 0x0b3d0b3d
0x0224: 0x97410007
0x022c: 0x00c2403c
0x0230: 0x2800000c
0x0234: 0x4abcb5bc
0x0238: 0x202c02c3
0x0250: 0x08d00320
0x0254: 0x000c0f10
0x0258: 0x60000600
0x025c: 0x14084c60
0x0300: 0x00350ee3
0x0304: 0x00450f23
0x0308: 0x000c0040
0x030c: 0x00b80a4c
0x0310: 0x00b90a4d
0x0314: 0x000c0000
0x0318: 0x00820d5f
0x031c: 0x00920d9f
0x0320: 0x30073007
0x0324: 0x30083008
0x032c: 0x000c0028
0x0330: 0x000c0000
0x0334: 0x000c0028
0x0338: 0x000c0000
0x0344: 0x000c0028
0x0348: 0x000b0000
0x039c: 0x00100040
0x03b8: 0x005202ac
0x03bc: 0x006202ec
0x03d8: 0x007c0df0
0x03dc: 0x008c0e30
0x0400: 0x1401000b
0x0404: 0x0c000001
0x0408: 0x0010100d
0x040c: 0x02800063
0x0410: 0x00000003
0x0414: 0x00000002
0x0418: 0x00000001
0x041c: 0x00800000
0x0428: 0x00400002
0x0438: 0x0000000f
0x0440: 0x000e0b00
0x0448: 0xffff0000
0x044c: 0xffff0000
0x0468: 0x06000084
0x046c: 0x00000f00
0x0470: 0xabc2d6bc
0x0474: 0x0000ffff
0x0490: 0x10000000
0x04b8: 0x000000fa
0x04bc: 0x0000c8c8
0x0508: 0x00000001
0x0530: 0x55e63b90
0x0534: 0x77ebc1c0
0x0560: 0x00000100
0x0700: 0x45fb9008
0x0720: 0x45fb9008
0x0804: 0x00000001
0x0900: 0x50000000
0x0904: 0x2a1846ec
0x0908: 0x51ffffff
0x090c: 0x00000128
0x0910: 0x00004300
0x0914: 0x98200280
0x091c: 0x00020000
0x0920: 0x50000000
0x0924: 0x2a1846ec
0x0928: 0x51ffffff
0x092c: 0x00000128
0x0930: 0x00004300
0x0934: 0x98200280
0x093c: 0x00020000
0x0a00: 0x03242018
0x0a04: 0x0c0718f0
0x0a08: 0x06208300
0x0a0c: 0x00000080
0x0a10: 0x03242018
0x0a14: 0x0c0718f0
0x0a18: 0x06208300
0x0a1c: 0x00000080
0x0a20: 0x03242018
0x0a24: 0x0c0718f0
0x0a28: 0x06208300
0x0a2c: 0x00000080
0x0a30: 0x03242018
0x0a34: 0x0c0718f0
0x0a38: 0x06208300
0x0a3c: 0x00000080
0x0b80: 0x00000200
0x0b98: 0x00001c20
0x0ba4: 0x00000008
0x0ba8: 0x00e00014
0x0c00: 0x07700c08
0x0c04: 0x2e680008
0x0c08: 0x100c5843
0x0c0c: 0x16063400
0x0c10: 0x00000100
0x0c14: 0x0e004000
0x0c18: 0x00000054
0x0c1c: 0xa0202000
0x0c24: 0xa0840080
0x0c28: 0x0003a091
0x0c30: 0x40024000
0x0c38: 0x18000402
0x0c40: 0x00003ff1
0x0c44: 0x00003ff2
0x0c4c: 0x00000231
0x0c50: 0x00000020
0x0ccc: 0x00000001
0x0cd4: 0xff0000ff
0x0cd8: 0x00005000
0x0cdc: 0xc1ff0113
0x0d10: 0xffff0000
0x0d14: 0xffff0000
0x0d1c: 0x00000040
0x0d34: 0x0000005f
0x0d6c: 0x400204e0
0x0d70: 0x8000abf5
0x0d74: 0x000146ec
0x0d78: 0x0000043a
0x0d7c: 0x0002000f
0x0d80: 0xfba84aa8
0x0d84: 0x00ff03d7
0x0dc0: 0x3400fbc0
0x0dc4: 0x0037100a
0x0dc8: 0x00f80236
0x0dcc: 0x36200e06
0x0dd0: 0x0836b180
0x0dd4: 0x00d0a22e
0x0ddc: 0x00014a80
0x0e0c: 0x20000000
0x0e1c: 0x20000000
0x0e2c: 0x20000000
0x0e3c: 0x20000000


========= PCIEXBAR ========

Error: Dumping PCIEXBAR on this northbridge is not (yet) supported.


Error: Dumping MSRs on this CPU (0x0306a0) is not (yet) supported.



============= AMBs ============

